,sentences
78407,My question is that is it smart or safe to drop both of these medications down at the same time?
78450,Have you heard of anything like this in terms of emotional lability/reactivity or anger or irritability something like that as a result of benzodiazepine withdrawal?
78547,I got a small pimple like things all over my shoulder and back.
78595,"In addition to medication, these self-care tips may help your gout flare-up pain: Hope this helps."
78660,Will it have significant effects on my well-being or my physical health?
78712,It was irregular now again same.
78821,I can walk with elbow crutches.
78854,I think your partner is rushing too much when having sex.
78954,Your worries about your inability to hold on to a job and avoiding social situations are valid.
78970,But I have seen your attachments (attachment removed to protect patient identity).
79037,"With regards to biting your tongue at night, I suggest you wear a customized mouth guard for a while."
79045,"My legs and feet have also become extremely cold, almost feeling like cold blood running through my veins and I am getting a tingling sensation in them, and last night my big toe went completely numb and is still slightly numb."
79073,The texture is extremely heterogeneous throughout.
79077,It is going to be another month before I see a doctor and not sure when I will see an endocrinologist.
79117,My questions to you are as follows:
79245,I do not have other feelings.
79276,"The scan said ""The lung basis are clear."
79360,I have been using Eyedol for last 20 days along with Softdrops but it seems not that effective.
79373,"In my opinion, if there is no headache then you can avoid these glasses."
79392,"Schistocytes are nothing but fragmented or broken red blood cells, which are formed due to trauma to the cells."
79486,I had a problem with acne when I was teen on my face and back (not normal acne but a big one).
79521,I presume your family member may have been prescribed these medication earlier and is continuing them.
79537,I cannot read anything for a long time.
79554,My thigh and arm have more hair than other parts of the body since I am 15.
79630,"Do not delay, do it quickly, and message me after you get your teeth cleaned."
79651,She should not be handled punitively but offered support and encourage her to talk.
79760,I do not understand how to come out of this situation.
79829,"If so, please tell me what exercises I can do to prevent my spine from going bad?"
79832,It could be a neural pain due to any disc issue and may not be a worse prolapse.
79840,Especially it pains after evening time.
79885,"If it is PUPPP, then usually there is nothing to worry."
79893,Consult an eye care ophthalmologist online --> https://www.icliniq.com/ask-a-doctor-online/eye-care-ophthalmologist
79957,"Previously, used to take Hydrocortisone."
79971,What suitable treatment should I take for cavities?
79974,"After that, we come to the treatment part."
80013,Treatment is to get debridement done at a clinic and get a pack of Zinc-oxide Eugenol packet in the socket place.
80016,Dry socket.
80028,"If symptoms are not improved, please consult your physician."
80039,I have healthy eating habits and not a sugar addict.
80083,Intensive ice packs need to be applied (10 to 15 minutes every 2 to 3 hours) to keep swelling to bare minimum.
80089,He recommends bypass surgery and am waiting to see cardiac surgeon.
80101,I have included copies of angiogram and echogram for your study and comment.
80133,Can anything be done?
80291,The echo was negative.
80307,I felt better then.
80407,"Now, I will be waiting for your reply in case of a second option."
80429,My son is three years old.
80478,Sugar levels are also under control.
80510,"Now, let me explain the signs and symptoms of seborrheic keratosis."
80547,Is it raised above the skin surface?
80567,Kindly advise how I can get my sperm quality into normal state and improve my sperm quality.
80649,"Since you have work schedules which start in the early afternoon, it is possible that you got dehydrated with electrolyte loss which might have resulted in your feeling unusual weakness."
80669,My doctor said that my septum problem was either congenital or I got hit with something.
80687,"Coumadin was originally prescribed for atrial fib, but she now has a pacemaker and did have an ablation."
80812,I had sex many times the next night but with protection and took an i-pill to be sure.
80824,What can I do to get my periods early?
80860,The abscess has occurred on three occasions before.
80866,Wisdom tooth.
80908,"For the same, you must visit an ENT specialist rather than a physician."
80910,Now let us assume you have a perforation.
80933,"Although, ejaculation did not happen anywhere near my vagina and he wiped his penis with a towel."
80938,I am on day-22 of my menstrual cycle.
80986,"A per-rectal examination, ultrasound of KUB (kidneys, ureters and bladders) and prostate, urine routine tests and urine culture (after per-rectal prostatic massage) will help."
81059,"What medication should I take to increase the levels of MCV, MCH, MCHC, and WBC count."
81092,The steep portion of the oxyhemoglobin dissociation curve is the range that exists at the systemic capillaries (a small drop in systemic capillary p(O2) can result in the release of large amounts of oxygen for the metabolically active cells and this may result in respiratory failure.
